Country,Features,Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Lithuania,net generation,Europe,10.34674,13.42376,16.13264,17.4843,17.44288,13.069113,10.84036,12.1015,11.959,13.09984,4.113736,3.46206,3.807551,3.543759,3.064047,3.607144,3.16264,3.109055,2.5445654,2.9224943,4.1760986,3.7041126
        Luxembourg,net generation,Europe,0.1321,0.56193,2.35157,2.3188,2.88582,2.83858,2.99818,2.7053,2.21288,2.64042,2.715026,2.24385,2.333717,1.459888,1.505688,0.861374,0.306917,0.462601,0.5452682,0.7711928,0.8836639,0.9208151
        Malta,net generation,Europe,1.80198,1.82642,1.92888,2.10184,2.08304,2.1056,2.12534,2.15824,2.17328,2.03892,1.98822,2.04886,2.16092,2.11904,2.1148,1.241942,0.807333,1.603623,1.9119268,2.0016997,2.0818584,2.1116277
        Montenegro,net generation,Europe,--,--,--,--,--,--,2.86288,2.0794,2.73566,2.69766,3.91868,2.55688,2.74798,3.83454,3.07274,2.90128,3.04912,2.39528,3.304143,2.978541,2.806037,3.298510285
        Netherlands,net generation,Europe,84.31044,88.12854,90.32342,91.17422,96.5419,94.50572,92.93152,99.27836,101.72108,107.35418,116.502576,111.041441,101.080639,99.284698,100.436711,107.602149,111.549436,113.716349,112.2703969,119.0127664,118.4576141,117.439938
        North Macedonia,net generation,Europe,6.46054,6.01184,5.76296,6.40216,6.3409,6.60282,6.67146,6.15872,5.97474,6.48152,6.94626,6.4255,5.93892,5.80794,5.11708,5.279922,5.29601,5.243679,5.2859148,5.5017894,5.0426645,5.2351137
        Norway,net generation,Europe,140.80948,119.70842,128.56782,105.2534,108.66352,135.3932,119.72378,134.10084,139.21964,129.06828,122.150138,125.262082,145.660999,132.633003,140.242,142.176,147.491,147.570003,145.1080429,131.9557672,153.9079342,157.5030781
        Poland,net generation,Europe,133.61234,134.23304,133.03392,140.19562,142.7233,145.393158,150.719265,149.063852,145.509356,142.279486,143.35879,149.03546,143.015423,148.036692,142.273714,148.742268,151.980086,154.781107,155.1287839,149.1705333,144.4291258,166.5566896
        Portugal,net generation,Europe,41.27818,44.07368,43.21964,44.4976,42.6633,43.70262,46.27512,44.78848,43.42942,47.34142,52.718559,50.850621,44.325043,49.418816,50.858783,49.94755,57.805044,55.910271,57.0441476,50.6540545,50.7827283,47.4692647
        Romania,net generation,Europe,49.653,51.298,52.179,52.42,53.987,56.743,59.733,58.604542,61.702,54.747,57.67424,58.81578,55.72708,55.75262,62.36612,60.795554,59.783488,58.978383,59.6587406,54.857559,51.6490981,55.0189628
        Serbia,net generation,Europe,--,--,--,--,--,--,34.603,34.56922,34.76598,35.68332,35.40308,35.89158,34.22426,37.03382,31.70828,34.541154,35.589205,33.36169,33.7131023,33.5809988,34.2824072,34.8325942
        Slovakia,net generation,Europe,29.30758,30.15324,30.64922,29.39778,28.93062,29.3087,29.16634,26.101,26.90578,24.32788,24.928488,25.620182,25.856069,26.685,24.763528,24.501915,24.80742,25.390711,24.5804712,26.2454132,26.4638628,27.1942132
